# Summary
file	blocks	japanese_runs
ADV.DAT	0x7EFF0	238	洄洄洄洄 | 洄洄沆 | 芻比 | 洄沆 | 洄沆
ADV.DAT	0x816D0	229	謦晄跏賻 | 楞叢 | 裨澵 | 趙粐粐匇 | 梵巨
ADV.DAT	0x84130	302	跏複跏跏 | 阻款 | 跂聽鉷 | 鉐鏸 | 跂聽聽箞
ADV.DAT	0x86C00	220	裹裹 | 馬勅 | 裔矣昕 | 鉋澵 | 裔矣礦叝
ADV.DAT	0x89710	177	蒿蒿 | 溶叛 | 鉋澵 | 尅乱 | 粐氿
ADV.DAT	0x8C1F0	171	痢鉗 | 鉗櫻 | 鉗鉗釛鉗 | 粐粳鰰 | 跏跏跏粐粐籥粱
ADV.DAT	0x8EAD0	151	璃葮 | 葮苙 | 浯沆 | 淸蒿蒿葮蒿德 | 釿矣矣矚
ADV.DAT	0x913F0	208	荘荘 | 澵澵澵跏 | 澵粐粐粐粳 | 粐粐 | 粫鰾
ADV.DAT	0x93F90	123	裹裹袢 | 裹蠢 | 羶責 | 武壁鞨 | 鞳鰡
ADV.DAT	0x96770	134	鳬鰥 | 鳬鮟 | 盧欽 | 瑞戚 | 葮矣
ADV.DAT	0x98F90	141	鉗釖 | 鉗郤 | 篋惟 | 瑞脆鴃鱆 | 矮鞐
ADV.DAT	0x9B830	117	聽聽耻 | 聽羲 | 眩錦 | 瑞斉鰀獻矣 | 釿鰤
ADV.DAT	0x9E050	126	蒿蒿蒄 | 蒿莉 | 緒焦湜湜瞼粐 | 矮釛 | 鉗鈔
ADV.DAT	0xA0840	127	粐粐籏 | 粐篁 | 狄袴 | 血通鱇 | 韶鞨
ADV.DAT	0xA3070	149	聽聽聊 | 聽羲 | 篩紗 | 試読澵渹 | 鈔鞐
ADV.DAT	0xA58A0	150	棹偆 | 玳菠 | 韋韋 | 榑珥蒿 | 莢忌
ADV.DAT	0xA8040	102	孱劯 | 袍裹袁 | 遨忌 | 靍泚 | 珥珥
ADV.DAT	0xAA7D0	122	厥鸞 | 椥鷸 | 聟翹 | 鉗鉗 | 霳驎
ADV.DAT	0xACF80	178	淲睹 | 矍菠 | 鳬鰒 | 榻矣蒿 | 莢員
ADV.DAT	0xAF700	97	降席鐃 | 浯瞞 | 丶鐃 | 蒿菻 | 罠空
ADV.DAT	0xB1EC0	120	眥述 | 跏贊揣 | 皓策 | 矚胥 | 反矚胚
ADV.DAT	0xB46B0	111	模鷏 | 洽鷏 | 簀荊 | 亜椒 | 鉗釁
